benchmark,task_id,n,mechanisms,harnesses,models,pass_rate,mechanism_list,code_agent_tool_registry_n,code_agent_tool_registry_pass_rate,code_agent_tool_registry_successes,framework_mediated_browser_control_n,framework_mediated_browser_control_pass_rate,framework_mediated_browser_control_successes,text_action_protocol_n,text_action_protocol_pass_rate,text_action_protocol_successes,no_explicit_tools_n,no_explicit_tools_pass_rate,no_explicit_tools_successes,harness_side_augmentation_n,harness_side_augmentation_pass_rate,harness_side_augmentation_successes,native_tool_schema_n,native_tool_schema_pass_rate,native_tool_schema_successes,code_vs_augmentation_gap
usaco,1064_silver_stuck_in_a_rut,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1067_gold_square_pasture,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1068_platinum_sleeping_cows,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1069_platinum_spaceship,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,106_silver_delivery_route,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,107_silver_bale_share,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1083_bronze_uddered_but_not_herd,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1085_bronze_just_stalling,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1086_silver_dance_mooves,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1087_silver_no_time_to_paint,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1088_silver_spaced_out,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,108_silver_mountain_climbing,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1090_gold_telephone,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1108_bronze_comfortable_cows,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1109_bronze_clockwise_fence,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1111_silver_year_of_the_cow,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1112_silver_just_green_enough,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
usaco,1113_gold_stone_game,15,2,2,10,0.0,code_agent_tool_registry; harness_side_augmentation,1,0.0,0,,,,,,,,,,14.0,0.0,0.0,,,,0.0
